Q_ID,Video_ID,Rank,Answer,Time (sec)
BGdwSxRiXzw,BGdwSxRiXzw,6,"The two people in the video are standing close to each other, possibly engaging in a conversation or sharing an intimate moment.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,7,"The two people in the video are standing in a kitchen, with one person holding a plate of food and the other person reaching towards it.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,8,The two people in the video are standing side by side and appear to be engaged in a conversation.,0.5738
BGdwSxRiXzw,BGdwSxRiXzw,9,"The two people in the video are sitting together and appear to be engaged in a conversation, as indicated by their body language and the presence of a coffee cup on the table.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,10,"The two people are standing together and appear to be engaged in a conversation or interaction, with one person gesturing towards the other.",0.5738
BkdaXjkp_h0,BkdaXjkp_h0,1,"The video ends with the character standing in front of a tree, looking up at the sky.",0.4934
BkdaXjkp_h0,BkdaXjkp_h0,2,The video ends with a static image of a question mark.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,3,The video ends with a close-up of a person's hand holding a small object.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,4,The video ends with a fade to black.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,5,The video ends with a static screen.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,6,The video ends with a static shot of the sky.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,7,The video ends with a scene showing a person standing in front of a green field.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,8,The video ends with a static shot of the speaker.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,9,The video ends with a static shot of a green landscape.,0.4934
BkdaXjkp_h0,BkdaXjkp_h0,10,The video ends with a black screen.,0.4934
BrGdWP7lia0,BrGdWP7lia0,1,"When a man is playing football with a young boy, they engage in a fun and physical activity, often bonding over the game and practicing teamwork.",0.5289
BrGdWP7lia0,BrGdWP7lia0,2,"The man and the young boy are engaged in a game of football, likely enjoying a fun and active activity together.",0.5289
BrGdWP7lia0,BrGdWP7lia0,3,"The man is likely teaching the young boy the game of football, sharing skills, and possibly having fun together.",0.5289
BrGdWP7lia0,BrGdWP7lia0,4,"The man is likely to be teaching or playing a game of football with the young boy, possibly engaging in physical activity and bonding.",0.5289
BrGdWP7lia0,BrGdWP7lia0,5,"When a man is playing football with a young boy, they are likely engaging in a fun and physical activity, sharing time together, and possibly teaching the boy the basics of football.",0.5289
BrGdWP7lia0,BrGdWP7lia0,6,"When a man is playing football with a young boy, they are engaging in a fun and active game, likely sharing a moment of bonding and enjoying the sport together.",0.5289
BrGdWP7lia0,BrGdWP7lia0,7,"The man is likely to be teaching or playing football with the young boy, engaging in a fun and physically active activity.",0.5289
BrGdWP7lia0,BrGdWP7lia0,8,"The man is likely engaging in a playful or competitive game of football with the young boy, possibly demonstrating techniques or enjoying the activity together.",0.5289
BrGdWP7lia0,BrGdWP7lia0,9,"The man and the young boy are engaged in a game of football, likely enjoying physical activity and social interaction.",0.5289
BrGdWP7lia0,BrGdWP7lia0,10,"The man and the young boy are likely enjoying a game of football together, engaging in physical activity and potentially having fun or practicing skills.",0.5289
BSVHVuVnlGw,BSVHVuVnlGw,1,The video is primarily about a person performing a dance routine.,0.5723
BSVHVuVnlGw,BSVHVuVnlGw,2,"The video is about a person practicing calligraphy, showcasing the art of writing with a brush.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,3,"The video appears to be a simple, minimalistic display with a light gray background and a small, dark square in the center, which could be an abstract or experimental visual.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,4,"The video appears to be about a person or entity named ""jw"" performing or demonstrating something, possibly related to a product or skill.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,5,The video is about a person demonstrating the use of a specific tool or device in a step-by-step manner.,0.5723
BSVHVuVnlGw,BSVHVuVnlGw,6,"The video is about a person playing a musical instrument, specifically a stringed instrument, and creating music.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,7,"The video appears to be a placeholder or a test image, indicating that no content is currently available for viewing.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,8,"The video is about the process of creating a video game trailer, showcasing the collaboration between different teams to produce a polished final product.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,9,"The video is a brief introduction to a topic, likely a scientific or educational concept, focusing on the importance of understanding the basics before delving into more complex ideas.",0.5723
BSVHVuVnlGw,BSVHVuVnlGw,10,"The video appears to be about a series of abstract or symbolic images that may represent various concepts or emotions, possibly exploring themes of transformation, connection, or the passage of time.",0.5723
Bu4HZcHWt1w,Bu4HZcHWt1w,1,"When a woman and a boy walk in between two cars, the cars may beep or honk to alert the pedestrians.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,2,"When a woman and a boy walk in between two cars, they may obstruct the view of the driver, potentially leading to a traffic accident.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,3,"When a woman and a boy walk in between two cars, they are likely to be stopped by a traffic officer for crossing the street illegally.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,4,"When a woman and a boy walk in between two cars, it is important to ensure that they are safe and that the cars are not moving to avoid any accidents.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,5,"When a woman and a boy walk in between two cars, they are likely to be stopped by a car that is turning or reversing, which can be dangerous if not noticed.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,6,"When a woman and a boy walk in between two cars, it is generally not advisable due to the risk of injury from unexpected movement of the vehicles.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,7,"When a woman and a boy walk in between two cars, it can lead to a traffic accident if the cars are not aware of their presence or if the pedestrians are not being cautious.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,8,The question appears to be incomplete and does not provide enough context for a clear answer.,0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,9,"When a woman and a boy walk in between two cars, it could potentially lead to a traffic accident if the cars are moving and the individuals are not paying attention to their surroundings.",0.6843
Bu4HZcHWt1w,Bu4HZcHWt1w,10,"When a woman and a boy walk in between two cars, they are likely to be observed by someone who may stop to help them or call for assistance if they appear to be in danger.",0.6843
BuIc1w-kn-k,BuIc1w-kn-k,1,The 2 men shook hands to greet each other and bumped into each other because they were not paying attention to their surroundings after their conversation.,0.6846
BuIc1w-kn-k,BuIc1w-kn-k,2,"The two men likely shook hands to greet each other and then bumped into each other due to a lack of awareness or a sudden turn, indicating they were in close proximity.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,3,"The two men likely shook hands as a gesture of mutual respect or agreement, and then bumped into each other by chance, which led to the humorous situation depicted in the image.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,4,"The two men likely shook hands to show mutual respect or agreement after their conversation, and the bumping into each other could have been a coincidental collision due to their movement in the same direction.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,5,"The men likely shook hands as a formal gesture to conclude their conversation and bump into each other by accident, indicating a casual and friendly interaction.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,6,The two men likely shook hands and bumped into each other as a gesture of mutual respect and to reaffirm their understanding or agreement after their conversation.,0.6846
BuIc1w-kn-k,BuIc1w-kn-k,7,The two men likely shook hands and bumped into each other as a gesture of mutual respect and friendliness following their conversation.,0.6846
BuIc1w-kn-k,BuIc1w-kn-k,8,"The 2 men likely shook hands as a gesture of greeting or agreement after their conversation and then bumped into each other due to the unexpected nature of their meeting, possibly indicating they were not expecting to see each other again so soon.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,9,"The 2 men likely shook hands and bumped into each other as a friendly gesture, possibly indicating mutual respect or a casual meeting, after their conversation.",0.6846
BuIc1w-kn-k,BuIc1w-kn-k,10,"The 2 men likely shook hands as a gesture of agreement or greeting after their conversation, and the bumping into each other could have been a result of the natural movement of one person stepping back or the other person not noticing the handshake.",0.6846
BvfrF5nONZk,BvfrF5nONZk,1,"The woman approaches the man standing next to his bike, initiating a conversation or interaction between them.",0.6523
BvfrF5nONZk,BvfrF5nONZk,2,"The woman likely engages in conversation with the man, possibly discussing his bike or making small talk, but the specific outcome is not depicted in the image.",0.6523
BvfrF5nONZk,BvfrF5nONZk,3,"The woman approaches the man standing by his bike, possibly initiating a conversation or interaction.",0.6523
BvfrF5nONZk,BvfrF5nONZk,4,"The woman approaches the man, possibly to ask about the bike or engage in a conversation.",0.6523
BvfrF5nONZk,BvfrF5nONZk,5,The image provided does not contain enough information to describe what happens after a woman walks up to a man standing in front of his bike. The image is blank.,0.6523
BvfrF5nONZk,BvfrF5nONZk,6,"The woman engages in a conversation with the man, possibly discussing the bike or making small talk, but the exact nature of their interaction is not specified.",0.6523
BvfrF5nONZk,BvfrF5nONZk,7,"The woman approaches the man standing by his bike, possibly to engage in conversation or to help him with something related to the bike.",0.6523
BvfrF5nONZk,BvfrF5nONZk,8,The image provided does not contain enough context to determine what happens after a woman walks up to a man standing in front of his bike.,0.6523
BvfrF5nONZk,BvfrF5nONZk,9,The image does not provide enough context to determine what happens after a woman walks up to a man standing in front of his bike.,0.6523
BvfrF5nONZk,BvfrF5nONZk,10,The image does not provide enough context to determine what happens after a woman walks up to a man standing in front of his bike.,0.6523
BvpGKjFEIDg,BvpGKjFEIDg,1,"A field of corn is harvested by cutting the ears of corn and collecting them, which can then be processed into various products such as cornmeal, corn flour, and corn syrup.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,2,"A field of corn is harvested, typically by mechanical harvesting, where combine harvesters collect the mature corn stalks and their grains, leaving the stalks to decay and return nutrients to the soil.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,3,"A field of corn is harvested, the kernels are removed from the cob, and the corn is processed for various uses such as food, animal feed, or ethanol production.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,4,"A field of corn grows from seed, matures, and is eventually harvested for its kernels.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,5,"A field of corn is harvested and the kernels are processed to produce various products such as cornmeal, flour, and ethanol.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,6,"A field of corn is harvested, processed, and sold as food or used for biofuels.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,7,"A field of corn is harvested and the corn is processed into various products such as cornmeal, flour, and animal feed.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,8,"A field of corn is harvested when the corn is ripe, typically by combining machines that cut the stalks and then separate the ears of corn from the stalks.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,9,"A field of corn is harvested, processed, and then used for various purposes such as food, animal feed, and biofuels.",0.5423
BvpGKjFEIDg,BvpGKjFEIDg,10,"A field of corn is harvested, which involves cutting the stalks to collect the ears of corn for processing and consumption.",0.5423
Bvv6lMUTlEw,Bvv6lMUTlEw,1,"The image does not provide enough context to determine why the dog is being offered a cupcake or cake. It is likely a playful or humorous situation, but without more information, the reason cannot be definitively stated.",0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,2,The dog is not being offered a cupcake or cake because dogs cannot eat them as they are harmful to their health.,0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,3,"The image shows a dog being offered a cupcake or cake, which is unusual because dogs do not typically consume sweets, as they can be harmful to their health.",0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,4,The dog is not being offered a cupcake or cake because dogs cannot eat them as they are toxic to them.,0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,5,"The image appears to be a question or prompt asking why a dog is being offered a cupcake or cake, but there is no actual image of a dog or a cupcake/cake to provide a visual answer.",0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,6,The image does not provide enough context to determine why the dog is being offered a cupcake or cake.,0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,7,"The dog is likely being offered a cupcake or cake as a treat or as part of a playful or humorous interaction, which is not typical for dogs.",0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,8,The dog is likely being offered a cupcake or cake as a treat or as part of a celebration.,0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,9,"The image shows a dog being offered a cupcake or cake, which is not a common or appropriate food for dogs as it can be harmful to their health.",0.8461
Bvv6lMUTlEw,Bvv6lMUTlEw,10,The dog is not being offered a cupcake or cake because dogs cannot eat them as they are toxic to them.,0.8461
Bw7GevJP1vA,Bw7GevJP1vA,1,The man sits down and begins to eat the food that was placed on the coffee table.,0.605
Bw7GevJP1vA,Bw7GevJP1vA,2,The man is likely to engage in conversation or prepare to serve the food to others.,0.605
Bw7GevJP1vA,Bw7GevJP1vA,3,The man proceeds to serve the food to the guests.,0.605
Bw7GevJP1vA,Bw7GevJP1vA,4,"The man likely proceeds to sit down and enjoy the meal, engaging in conversation or relaxing with the food.",0.605
Bw7GevJP1vA,Bw7GevJP1vA,5,"The image shows a man sitting at a table with a plate of food, but there is no further action depicted after this.",0.605
Bw7GevJP1vA,Bw7GevJP1vA,6,The man proceeds to sit down at the table to enjoy the food.,0.605
Bw7GevJP1vA,Bw7GevJP1vA,7,The man likely begins to serve or prepare the food for a meal or gathering.,0.605
Bw7GevJP1vA,Bw7GevJP1vA,8,"The man likely begins to prepare or serve the food, possibly engaging in conversation or setting the scene for a meal or gathering.",0.605
Bw7GevJP1vA,Bw7GevJP1vA,9,"The man proceeds to eat the food, indicating a mealtime or snack scenario.",0.605
Bw7GevJP1vA,Bw7GevJP1vA,10,The man then proceeds to sit down and enjoy the meal.,0.605
BWAVzDutp1o,BWAVzDutp1o,1,"When a motorcyclist is riding down the road, they are moving forward at a speed determined by their throttle input, and their body weight shifts slightly to maintain balance and control, with the front wheel leaning into the turn and the rear wheel following.",0.8585
BWAVzDutp1o,BWAVzDutp1o,2,"When a motorcyclist is riding down the road, they are moving forward, navigating traffic, and potentially experiencing wind resistance and other road conditions that require their attention and skill to maneuver safely.",0.8585
BWAVzDutp1o,BWAVzDutp1o,3,"When a motorcyclist is riding down the road, they are in motion, typically traveling at a speed that can vary depending on the road conditions and the rider's skill level.",0.8585
BWAVzDutp1o,BWAVzDutp1o,4,"When a motorcyclist is riding down the road, they are moving forward, typically propelled by the engine of the motorcycle, and may be navigating traffic, adhering to traffic rules, and potentially encountering various road conditions and obstacles.",0.8585
BWAVzDutp1o,BWAVzDutp1o,5,"When a motorcyclist is riding down the road, they are moving forward, navigating traffic, and potentially interacting with other vehicles and road conditions.",0.8585
BWAVzDutp1o,BWAVzDutp1o,6,"When a motorcyclist is riding down the road, they are typically moving forward on the road, navigating traffic, and adhering to traffic laws and road conditions.",0.8585
BWAVzDutp1o,BWAVzDutp1o,7,"When a motorcyclist is riding down the road, they are navigating through traffic, adhering to traffic laws, and maintaining a safe distance from other vehicles while adjusting their speed based on road conditions and traffic flow.",0.8585
BWAVzDutp1o,BWAVzDutp1o,8,"When a motorcyclist is riding down the road, they are typically propelling themselves forward using the engine's power, navigating through traffic and adhering to traffic laws and road conditions.",0.8585
BWAVzDutp1o,BWAVzDutp1o,9,"When a motorcyclist is riding down the road, they are typically moving forward using the power of the motorcycle's engine, steering with the handlebars, and maintaining balance on two wheels.",0.8585
BWAVzDutp1o,BWAVzDutp1o,10,"When a motorcyclist is riding down the road, they are moving at a steady pace, typically propelled by the motorcycle's engine, and may navigate through traffic, turn corners, and adjust their speed as needed.",0.8585
BYja7Z0B9Fc,BYja7Z0B9Fc,1,The couple is captured in a moment of affection while sitting in a car.,0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,2,"The couple continues to kiss, maintaining their affectionate moment.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,3,The couple in the car are likely to be caught and potentially face consequences depending on the local laws and regulations regarding public displays of affection.,0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,4,"A couple sitting in a car kissing might be caught by a traffic officer, leading to a citation or summons.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,5,"The image is too small to provide a detailed description, but generally, a couple sitting in a car and kissing might be caught by a camera, which could result in the image being shared or used as evidence, depending on the context.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,6,They likely get caught and may face consequences such as a traffic ticket or public disapproval.,0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,7,"The couple in the car might be caught by someone passing by, potentially leading to a public display of affection that could be considered inappropriate or embarrassing.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,8,"The couple sitting in a car kissing are likely to be caught by a traffic camera, resulting in a parking ticket.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,9,"They engage in intimate behavior, which may not be appropriate in public.",0.6002
BYja7Z0B9Fc,BYja7Z0B9Fc,10,The couple continues to kiss while sitting in the car.,0.6002
ByuygPDH1Vk,ByuygPDH1Vk,1,"The duck was playing dead as a survival tactic, likely to avoid being preyed upon by a predator.",0.544
ByuygPDH1Vk,ByuygPDH1Vk,2,The duck was likely playing dead as a defense mechanism to avoid predators.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,3,The duck was playing dead to avoid predators or to rest.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,4,"The duck was playing dead to avoid predators or to conserve energy, which is a common behavior in nature.",0.544
ByuygPDH1Vk,ByuygPDH1Vk,5,The duck was playing dead to avoid predators or to rest undisturbed.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,6,The duck was likely playing dead to avoid predators or to rest unnoticed.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,7,"The duck was likely playing dead as a survival tactic, possibly to avoid predators or to join in a game of hide-and-seek.",0.544
ByuygPDH1Vk,ByuygPDH1Vk,8,The duck was likely playing dead as a defense mechanism to avoid predators or as part of a game or behavior it was demonstrating.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,9,The duck was likely playing dead as a defense mechanism to avoid predators.,0.544
ByuygPDH1Vk,ByuygPDH1Vk,10,The duck was playing dead to avoid a predator.,0.544
C4j3Pp79KSg,C4j3Pp79KSg,1,The woman riding in a wheelchair slows down and carefully maneuvers her wheelchair to safely navigate the corner.,0.4345
C4j3Pp79KSg,C4j3Pp79KSg,2,The woman riding in a wheelchair likely slows down or stops at the corner to ensure safety before proceeding.,0.4345
C4j3Pp79KSg,C4j3Pp79KSg,3,The woman riding in a wheelchair stops at the corner before proceeding.,0.4345
C4j3Pp79KSg,C4j3Pp79KSg,4,"When the woman in the wheelchair reaches the corner, she carefully turns her wheelchair to navigate the turn safely.",0.4345
C4j3Pp79KSg,C4j3Pp79KSg,5,"The woman in the wheelchair stops at the corner, likely to assess the situation before proceeding.",0.4345
C4j3Pp79KSg,C4j3Pp79KSg,6,"The woman riding in the wheelchair would need to maneuver around the corner, likely turning her wheelchair to navigate the space safely.",0.4345
C4j3Pp79KSg,C4j3Pp79KSg,7,The woman riding in the wheelchair turns the corner with the help of her hands or a guide.,0.4345
C4j3Pp79KSg,C4j3Pp79KSg,8,"When the woman in the wheelchair reaches the corner, she must navigate carefully to ensure safety and follow any necessary traffic rules.",0.4345
C4j3Pp79KSg,C4j3Pp79KSg,9,"The woman riding in the wheelchair carefully turns the wheelchair at the corner, ensuring her path is safe and navigates the space smoothly.",0.4345
C4j3Pp79KSg,C4j3Pp79KSg,10,"The woman riding in the wheelchair would need to stop and carefully navigate the corner, ensuring her path is safe and clear.",0.4345
C7ADL93Zg4Q,C7ADL93Zg4Q,1,"The image appears to be incomplete or not related to the question. The question asks about a young woman in a video game interacting with Pac-Man, but the image content is not visible. Please provide more details or clarify the image for a relevant answer.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,2,"In the video game, the young woman is shown consuming Pac-Man, which is a common sequence in games like ""Ms. Pac-Man"" where the player can turn the tables on Pac-Man by eating him.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,3,"In the video game, the young woman chases and eats Pac-Man, effectively reversing the traditional roles of predator and prey.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,4,"In the video game, the young woman chases Pac-Man, trying to catch him.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,5,The young woman in the video game chases and eats Pac-Man.,0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,6,"In the video game Pac-Man, a young woman is the player who controls the character to eat all the dots and avoid the ghosts.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,7,"The young woman in the video game chases Pac-Man, attempting to catch him.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,8,"In the video game, the young woman appears to be playing Pac-Man, where she is eating the pellets and avoiding the ghosts to score points.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,9,"In the video game, the young woman chases and eats Pac-Man, as part of the gameplay mechanics.",0.7148
C7ADL93Zg4Q,C7ADL93Zg4Q,10,The young woman in the video game is playing Pac-Man and is trying to eat the dots while avoiding the ghosts.,0.7148
C7ToN6hcXvQ,C7ToN6hcXvQ,1,"The video ends with a static image of a flower, suggesting a moment of stillness or reflection.",0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,2,The video ends with a fade to black.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,3,The video ends with a static image of a question mark.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,4,The video ends with a fade to black.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,5,The video ends with a question being asked.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,6,The video ends with a closing title screen.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,7,The video ends with a serene landscape scene.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,8,The video ends with a fade to black.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,9,The video ends with a static image of a white screen.,0.3758
C7ToN6hcXvQ,C7ToN6hcXvQ,10,"The video ends with the character standing in a quiet, open space, possibly reflecting on the journey just completed.",0.3758
CbRNu0FBRv8,CbRNu0FBRv8,1,The man scrolls the screen on his phone while standing in a room.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,2,The man scrolls the screen on his phone while he is looking at it.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,3,The man scrolls the screen on his phone during the day.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,4,The man scrolls the screen on his phone when he is looking for information or content he is interested in.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,5,The man scrolls the screen on his phone when he is looking for specific information or content.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,6,The man scrolls the screen on his phone when he is using it to read or search for information.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,7,The man scrolls the screen on his phone in the evening.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,8,"The man scrolls the screen on his phone while he is seated, likely during a break or while waiting for something.",0.4265
CbRNu0FBRv8,CbRNu0FBRv8,9,The man scrolls the screen on his phone while he is walking.,0.4265
CbRNu0FBRv8,CbRNu0FBRv8,10,The man scrolls the screen on his phone in the middle of the image.,0.4265
CBxi5FLNouw,CBxi5FLNouw,1,The boy is trying to figure out how to fix the broken toy in his hands.,0.5401
CBxi5FLNouw,CBxi5FLNouw,2,The boy appears to be trying to figure out how to operate or adjust the machine in front of him.,0.5401
CBxi5FLNouw,CBxi5FLNouw,3,"The boy is trying to figure out the problem he is facing, which appears to be related to the text ""I don't know.""",0.5401
