Q_ID,Video_ID,Rank,Answer,Time (sec),,
Bu4HZcHWt1w,Bu4HZcHWt1w,2,A boy runs to a white car.,3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,3,The woman and boy are struck by a car.,3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,4,A man in a red shirt tackles the boy to the ground to save him from being hit by a car.,3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,5,"A woman appears to be quickly stepping out of the way to avoid being hit by a car, while a boy follows her, seemingly unaware of the danger.",3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,6,"A woman and a boy walk in between two cars as part of a staged or dramatic scene, highlighted by text indicating a ""Greatest Save.""",3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,7,A car reverses and almost hits them.,3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,8,"A person on a motorcycle stops suddenly, avoiding a collision.",3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,9,The video does not provide enough information to answer the question accurately.,3.5867,,
Bu4HZcHWt1w,Bu4HZcHWt1w,10,"A woman and a boy walk in between two cars, but the video does not show any specific event or action happening as a result.",3.5867,,
BuIc1w-kn-k,BuIc1w-kn-k,1,The two men shook hands and bumped into each other as a gesture of mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,2,The two men shook hands and bumped into each other as a sign of mutual respect and camaraderie after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,3,The two men likely shook hands and bumped into each other as a sign of mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,4,The two men shook hands and bumped into each other to express mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,5,The 2 men likely shook hands and bumped into each other as a sign of mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,6,The men shook hands and bumped into each other as a sign of mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,7,The 2 men shook hands and bumped into each other to show mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,8,The two men shook hands and bumped into each other to express mutual respect and agreement after their conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,9,The 2 men shook hands and bumped into each other as a sign of respect and camaraderie after having a conversation.,3.4518,,
BuIc1w-kn-k,BuIc1w-kn-k,10,The two men shook hands and bumped into each other to express mutual respect and agreement after their conversation.,3.4518,,
BvfrF5nONZk,BvfrF5nONZk,1,The woman takes a selfie with the man standing in front of his bike.,3.6152,,
BvfrF5nONZk,BvfrF5nONZk,2,"After a woman walks up to a man standing in front of his bike, she takes a photo of him.",3.6152,,
BvfrF5nONZk,BvfrF5nONZk,3,The woman takes a selfie with the man and his bike.,3.6152,,
BvfrF5nONZk,BvfrF5nONZk,4,"The woman approaches the man, who is standing with his bike, and they engage in a conversation.",3.6152,,
BvfrF5nONZk,BvfrF5nONZk,5,The woman takes a selfie with the man and his bike.,3.6152,,
BvfrF5nONZk,BvfrF5nONZk,6,The woman starts to film the man on her phone.,3.6152,,
BvfrF5nONZk,BvfrF5nONZk,7,"The woman walks up to the man, possibly to greet or interact with him.",3.6152,,
BvfrF5nONZk,BvfrF5nONZk,8,"The woman engages with the man, who is likely discussing the high-value bicycle, as indicated by the text overlay.",3.6152,,
BvfrF5nONZk,BvfrF5nONZk,9,"The woman interacts with the man and the man's bike, while the text ""4 lakh ki cycle"" remains visible.",3.6152,,
BvfrF5nONZk,BvfrF5nONZk,10,"The woman, wearing a helmet and holding a phone, approaches the man standing in front of his bike.",3.6152,,
BvpGKjFEIDg,BvpGKjFEIDg,1,The field of corn is overrun by baby ducks.,3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,2,The field of corn is replaced by a field of baby chicks.,3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,3,"The field of corn is covered by a large number of small, yellow ducklings.",3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,4,A field of corn is covered with yellow chicks.,3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,5,The field of corn is invaded by a large group of baby chickens.,3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,6,Corn is harvested.,3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,7,"Corn is harvested and the stalks are left behind, often leading to a field of green stalks.",3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,8,"The field of corn is covered with a large number of small yellow chickens, obscuring the corn plants.",3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,9,"The field of corn is invaded by numerous yellow chicks, which are seen running and pecking at the corn plants.",3.9121,,
BvpGKjFEIDg,BvpGKjFEIDg,10,"A field of corn is harvested and the plants are cut down, leaving rows of harvested corn.",3.9121,,
Bvv6lMUTlEw,Bvv6lMUTlEw,1,The dog is being offered a cupcake or cake because it is Ellie's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,2,Because it's the dog's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,3,"It's Ellie's birthday, and the man is offering the dog a treat to celebrate.",3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,4,The dog is being offered a cupcake or cake because it is Ellie's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,5,The dog is being offered a cupcake or cake as part of a birthday celebration for Ellie.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,6,The dog is being offered a cupcake or cake because it is Ellie's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,7,The dog is being offered a cupcake or cake as part of its birthday celebration.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,8,Because it is the dog's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,9,Because it's the dog's birthday.,3.7109,,
Bvv6lMUTlEw,Bvv6lMUTlEw,10,The dog is being offered a cupcake or cake to celebrate its birthday.,3.7109,,
Bw7GevJP1vA,Bw7GevJP1vA,1,"The man continues talking and gesturing, while the other man listens.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,2,"The two men continue their conversation while sitting on the couch, with one gesturing with his hands.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,3,"After showing the food on the coffee table, the man starts talking and gesturing animatedly, engaging in conversation with his companion.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,4,The man continues talking and gesturing while the other man listens and occasionally responds.,3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,5,"The man gestures animatedly as he speaks, while the other man listens attentively.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,6,"The man on the left starts talking and gesturing animatedly, while the man on the right listens and occasionally responds.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,7,"The scene transitions back to the two men sitting on the couch, where the man on the left starts talking and gesturing with his hands while the man on the right listens.",3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,8,The man picks up a glass of water and starts to drink from it.,3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,9,The man on the left starts talking and gesturing animatedly while the man on the right listens and occasionally responds.,3.7599,,
Bw7GevJP1vA,Bw7GevJP1vA,10,The man gestures animatedly with his hands while seated on a couch.,3.7599,,
BWAVzDutp1o,BWAVzDutp1o,1,"The motorcyclist rides down the road, passing by a truck and another motorcycle, with the text ""Love is In Air ??"" displayed on the screen.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,2,"A motorcyclist is riding down the road, passing by another motorcyclist who is wearing a pink shirt and a red backpack.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,3,"A motorcyclist rides down a road, passing a person on a scooter and encountering a truck and an excavator.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,4,"A motorcyclist rides down the road, passing by another motorcyclist and a person on a scooter.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,5,The motorcyclist rides past a woman on a scooter and continues down the road.,3.7079,,
BWAVzDutp1o,BWAVzDutp1o,6,"A motorcyclist rides down the road behind a person on a scooter, with a truck and a car visible ahead.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,7,A person on a motorbike with a red bag and a pink dress appears to be riding down the road.,3.7079,,
BWAVzDutp1o,BWAVzDutp1o,8,"The motorcyclist rides down the road behind a person on a three-wheeled vehicle, with the text ""Love is In Air ??"" displayed on the screen.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,9,"The motorcyclist is riding down the road with a person on the back seat, and the text ""Love is In Air ??"" appears on the screen.",3.7079,,
BWAVzDutp1o,BWAVzDutp1o,10,"The motorcyclist is riding down the road, and a person on a bike is following closely behind.",3.7079,,
BYja7Z0B9Fc,BYja7Z0B9Fc,1,The couple kissing in the car is shown again later at the beach.,4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,2,"The couple sitting in a car kissing is shown kissing again, this time on the beach.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,3,"The couple sitting in the car kissing is shown again, but this time they are on the beach.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,4,"The couple kisses in the car, then the scene changes to them on a beach, still kissing.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,5,"The couple in the car ends up at the beach, where they take selfies and the woman dances in the water.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,6,"The couple in the car is shown kissing, then the scene changes to them at the beach.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,7,"The couple is then shown at the beach, and the woman is seen in the water.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,8,"The couple kisses in the car, then the scene changes to them at the beach, and the woman is shown in the water.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,9,"The couple is seen kissing in a car, then the scene changes to them on the beach, where the woman is taking a selfie and the man is shirtless.",4.048,,
BYja7Z0B9Fc,BYja7Z0B9Fc,10,"The couple in the car share a kiss, then the scene transitions to them on a beach, where the woman is seen dancing and smiling.",4.048,,
ByuygPDH1Vk,ByuygPDH1Vk,1,"The duck was likely playing dead as a survival mechanism, hoping the dog would not attack it.",3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,2,"The duck was likely playing dead as a survival tactic, trying to avoid detection by predators.",3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,3,The duck was playing dead to avoid being attacked by the dog.,3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,4,The duck was playing dead as a defense mechanism to avoid being caught by the dog.,3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,5,"The duck was likely playing dead as a defense mechanism to avoid the dog, which was walking by.",3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,6,"The duck was likely playing dead as a defense mechanism to avoid the dog, which is a common behavior among wild birds when they sense danger.",3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,7,"The duck was playing dead to avoid being caught by the dog, which seems to be a hunting dog.",3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,8,The duck was likely playing dead as a defense mechanism to avoid being caught by the dog.,3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,9,The duck was likely playing dead as a defensive strategy to avoid predators.,3.6278,,
ByuygPDH1Vk,ByuygPDH1Vk,10,"The duck was likely playing dead to avoid being attacked by the dog, as the dog seemed interested in it.",3.6278,,
C4j3Pp79KSg,C4j3Pp79KSg,1,The woman riding in the wheelchair stops at the corner.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,2,The woman riding in a wheelchair is assisted by the man standing beside her to help her navigate the corner.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,3,"The woman in the wheelchair reaches the corner, and the man assists her in turning the wheelchair.",3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,4,The woman riding in a wheelchair stops at the corner.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,5,"The woman riding in a wheelchair reaches the corner, and a man helps her by pushing the wheelchair.",3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,6,"The woman riding in the wheelchair is shown at a crosswalk, likely waiting for the traffic signal to change so she can safely cross the street.",3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,7,The woman in the wheelchair does not have any specific action depicted at the corner; she is simply being assisted by the man in the wheelchair.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,8,The woman riding in a wheelchair turns to the left when she reaches the corner.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,9,She turns to the left.,3.9619,,
C4j3Pp79KSg,C4j3Pp79KSg,10,She stops and waits for the pedestrian signal to change.,3.9619,,
C7ADL93Zg4Q,C7ADL93Zg4Q,1,A young woman plays a video game where she shoots a giant Pac-Man character with a toy gun.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,2,"The young woman is playing a video game where she shoots a gun at Pac-Man, causing him to run away.",3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,3,The young woman in the video game runs away from Pac-Man.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,4,A young woman chases and captures Pac-Man in a video game.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,5,A young woman throws a water gun at a giant Pac-Man character in a video game.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,6,A young woman runs away from Pac-Man in the video game.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,7,A young woman shoots a giant Pac-Man with a water gun in a video game.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,8,The young woman in the video game kicks Pac-Man.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,9,The young woman in the video game throws a large Pac-Man at Pac-Man.,3.499,,
C7ADL93Zg4Q,C7ADL93Zg4Q,10,A young woman in the video game shoots at Pac-Man with a toy gun.,3.499,,
C7ToN6hcXvQ,C7ToN6hcXvQ,1,The video ends with a man being interviewed and then transitioning to a group of people in blue uniforms marching and holding flags.,4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,2,The video ends with a serene image of a golden dome with a rainbow and clouds in the background.,4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,3,The video ends with a serene view of a golden dome structure surrounded by a bright rainbow.,4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,4,"The video ends with a view of a golden dome temple, suggesting a place of significance and peace.",4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,5,"The video ends with a serene view of a golden dome, likely a significant religious or historical site.",4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,6,"The video ends with a view of a golden dome and a rainbow, suggesting a transition to a different scene or the conclusion of the video.",4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,7,A group of people in blue and yellow uniforms march in a parade.,4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,8,"The video ends with a serene shot of a golden dome structure, suggesting a place of cultural or spiritual significance.",4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,9,A large group of people wearing blue head coverings and holding flags marches in a parade.,4.0025,,
C7ToN6hcXvQ,C7ToN6hcXvQ,10,"A grand scene unfolds with a dome-like structure, symbolizing a significant event or celebration.",4.0025,,
CbRNu0FBRv8,CbRNu0FBRv8,1,The man scrolls the screen on his phone while he is looking at a photo album on the table in front of him.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,2,The man scrolls the screen on his phone throughout the video.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,3,The man scrolls the screen on his phone at the beginning of the video.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,4,The man scrolls the screen on his phone while he is sitting and looking at something on his phone.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,5,"The man scrolls the screen on his phone at the beginning of the video, before he shows the photo to the camera.",3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,6,The man scrolls the screen on his phone while he is seated and appears to be engaged in conversation.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,7,The man scrolls the screen on his phone while he is sitting and looking at the phone.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,8,The man scrolls the screen on his phone when he is holding the phone in his left hand and looking at the screen.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,9,The man scrolls the screen on his phone as he talks about the watch.,3.9849,,
CbRNu0FBRv8,CbRNu0FBRv8,10,The man scrolls the screen on his phone after showing a picture to the camera.,3.9849,,
CBxi5FLNouw,CBxi5FLNouw,1,"The boy appears to be trying to figure out how to juggle or perform a trick with the pink object in his hand, as indicated by the progression of the video showing him practicing and improving over time.",3.7195,,
CBxi5FLNouw,CBxi5FLNouw,2,The boy is trying to figure out how to juggle the pink object he is holding.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,3,The boy is trying to figure out how to spin the pink fidget spinner.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,4,"The boy appears to be trying to figure out how to use the pink pen, as indicated by his focused and repetitive actions in each frame.",3.7195,,
CBxi5FLNouw,CBxi5FLNouw,5,The boy is trying to figure out how to use the pink pen effectively.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,6,The boy is trying to figure out how to properly juggle the pink baton.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,7,"The boy is trying to figure out how to juggle the pink object, which seems to be a pen, over the course of one month.",3.7195,,
CBxi5FLNouw,CBxi5FLNouw,8,The boy appears to be practicing and improving his juggling skills with a pink stick.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,9,The boy is trying to figure out how to spin a pink fidget spinner.,3.7195,,
CBxi5FLNouw,CBxi5FLNouw,10,"The boy appears to be trying to figure out how to use the pink object, which might be a toy or a tool, over time.",3.7195,,
CcafMpThEeQ,CcafMpThEeQ,1,The punching bag is kicked and falls over.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,2,The punching bag is knocked over by the end of the video.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,3,The punching bag is knocked over by the end of the video.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,4,The punching bag is kicked over by the person in the video.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,5,The punching bag is left standing upright on the field by the end of the video.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,6,The punching bag is knocked over by the end of the video.,3.8732,,
CcafMpThEeQ,CcafMpThEeQ,7,The punching bag is knocked over by the end of the video.,3.8732,,
